period,impact,duration,depth,ror,srho,prad,incl,teq,dor,steff,slogg,smet,srad,smass,label
11.76307164,0.048,2.9076,1037.3,0.028519,4.37951,2.35,89.91,616,31.76,4959,4.603,0.16,0.756,0.849,CONFIRMED
56.2279271,0.7,3.57,862.7,0.028683,4.47051,2.37,89.56,366,90.7,4959,4.603,0.16,0.756,0.849,CONFIRMED
2.384052875,1.178,3.0918,1268.1,0.222925,0.03902,17.06,58.76,1010,2.27,4794,4.58,-0.22,0.701,0.683,FALSE POSITIVE
7.953547,0.3,2.6312,875.4,0.026448,3.48717,2.25,89.24,696,22.68,4768,4.536,0.18,0.779,0.759,CONFIRMED
4.14451656,0.004,2.3421,391.8,0.017441,2.87358,1.48,89.99,864,13.767,4768,4.536,0.18,0.779,0.759,CONFIRMED
4.859386384,1.259,2.2757,6044.3,0.355227,0.4563,38.33,81.27,1114,8.29,6072,4.47,-0.1,0.988,1.05,FALSE POSITIVE
10.526294577,0.644,2.5211,9768,0.095143,3.85261,8.24,88.69,713,28.26,5386,4.553,-0.2,0.793,0.82,CONFIRMED
4.583520948,0.045,2.7055,3812.1,0.056287,2.30111,5.39,89.81,1038,13.672,5815,4.54,-0.12,0.877,0.973,CONFIRMED
3.76181843,0.926,3.5176,510.6,0.025656,0.06927,2.66,75.62,1121,3.73,5653,4.472,0.1,0.949,0.974,CONFIRMED
8.20396958,0.823,2.9667,1024.4,0.033372,0.65082,3.01,86.43,742,13.23,5015,4.499,0.1,0.826,0.785,CONFIRMED
14.49645186,0.97,4.016,647.5,0.033377,0.0859,3.01,84.34,613,9.85,5015,4.499,0.1,0.826,0.785,CONFIRMED
12.71809866,0.427,3.0957,1149.4,0.030871,2.98907,2.31,89.17,562,29.5,4702,4.592,-0.22,0.686,0.67,CONFIRMED
36.06588163,0.26,4.3246,1563.8,0.035281,3.78452,2.64,89.77,397,63.84,4702,4.592,-0.22,0.686,0.67,CONFIRMED
4.190425659,0.458,2.8589,2877.4,0.050076,1.28404,6.21,87.52,1234,10.6,6073,4.392,0.2,1.135,1.163,CONFIRMED
3.709870784,0.023,3.0694,2020.3,0.040686,1.22579,4.35,89.86,1151,9.6255,5727,4.463,0.14,0.978,1.013,CONFIRMED
16.3297527,0.791,6.271,1187.5,0.034822,0.16717,3.75,86.59,727,13.31,5878,4.444,-0.06,0.987,0.989,CONFIRMED
27.807566216,0.782,4.21587,25391,0.161479,1.98053,13.84,88.96,554,43.26,5862,4.584,-0.52,0.785,0.865,CONFIRMED
80.8723469,0.527,11.195,3604.6,0.056129,0.37264,7.59,89.4,452,50.5,5510,4.222,0.16,1.238,0.932,CONFIRMED
3.166465862,1.266,2.9381,4357.2,0.348902,0.12553,26.82,71.8,954,4.05,4968,4.575,-0.36,0.704,0.68,FALSE POSITIVE
24.99324319,0.686,5.9409,269.6,0.015956,0.42385,2.29,88.37,712,24.1,5718,4.181,0,1.317,0.961,CONFIRMED
10.35533116,0.029,3.1775,750.6,0.024674,2.92779,2.47,89.93,777,25.51,5501,4.462,0.02,0.918,0.891,CONFIRMED
16.08518937,0.867,3.984,1442.4,0.040767,0.41177,3.68,87.21,613,17.79,5239,4.523,0,0.826,0.83,CONFIRMED
7.49018305,0.02,2.7297,1123.6,0.029843,3.3941,2.56,89.95,753,21.59,5103,4.562,0.04,0.787,0.823,CONFIRMED
36.2761238,0.035,4.7865,1572.6,0.035273,3.09103,3.03,89.97,445,59.91,5103,4.562,0.04,0.787,0.823,CONFIRMED
17.46087931,0.594,2.2641,812.4,0.026969,7.45729,2.32,89.31,568,49.3,5103,4.562,0.04,0.787,0.823,CONFIRMED
56.0560754,0.018,4.685,1626,0.036134,5.11354,1.94,89.99,233,94.7,3593,4.757,0.26,0.491,0.503,CONFIRMED
41.408316686,0.377,5.0264,22839,0.139516,3.42177,11.38,89.68,453,67.69,5522,4.586,-0.46,0.747,0.786,CONFIRMED
5.715425977,0.348,2.5242,908.1,0.027348,2.71439,2.47,88.81,850,16.74,5237,4.572,0.24,0.826,0.927,CONFIRMED
49.18394185,0.035,11.3364,1646.2,0.036501,0.31666,8.2,89.94,669,34.34,5626,3.907,0.36,2.057,1.247,CONFIRMED
20.0261412,0.957,1.611,421.2,0.025305,2.00738,2.28,88.43,559,34.9,5237,4.572,0.24,0.826,0.927,CONFIRMED
10.44331991,0.23,2.743,1159.8,0.030416,4.32663,2.66,89.55,667,29.22,4947,4.516,0.08,0.802,0.769,FALSE POSITIVE
2.237489571,0.128,1.8119,315.8,0.015942,3.26761,1.41,89.23,1160,9.527,5265,4.58,0.14,0.81,0.91,CONFIRMED
5.851520671,0.211,3.11058,33004,0.166109,2.48066,14.62,89.27,901,16.497,5532,4.53,-0.34,0.806,0.804,FALSE POSITIVE
3.167893418,0.026,2.1814,781.2,0.025513,2.78453,2.62,89.87,1221,11.389,5895,4.503,-0.02,0.94,1.026,CONFIRMED
4.311780262,0.196,2.7251,1154,0.030716,1.86883,3.11,89.08,1038,12.25,5527,4.484,0.16,0.927,0.956,CONFIRMED
20.0504494,0.383,4.556,840.9,0.026569,1.54536,2.69,89.31,622,32,5527,4.484,0.16,0.927,0.956,CONFIRMED
9.76734503,0.9,1.6585,569.1,0.026407,2.17446,2.67,87.68,791,22.2,5527,4.484,0.16,0.927,0.956,CONFIRMED
190.3200468,0.812,15.284,1141.7,0.034654,0.11866,7.78,89.24,426,61,5626,3.907,0.36,2.057,1.247,CONFIRMED
2.861159894,0.965,1.8832,1014.3,0.039171,0.22208,4.37,77.84,1355,4.58,6126,4.458,-0.04,1.021,1.09,FALSE POSITIVE
26.44439337,0.03,3.9783,1843.5,0.038511,3.96328,3.91,89.97,562,52.72,5427,4.463,0.16,0.929,0.915,CONFIRMED
51.53997972,0.183,6.3994,3644.3,0.05435,1.85679,5.51,89.84,450,63.88,5427,4.463,0.16,0.929,0.915,CONFIRMED
5.902245782,0.209,2.9003,702.3,0.023909,2.05923,2.43,89.23,926,15.59,5427,4.463,0.16,0.929,0.915,CONFIRMED
2.382951591,0.479,1.8876,391.6,0.018369,2.19197,1.86,86.85,1253,8.7,5427,4.463,0.16,0.929,0.915,CONFIRMED
21.02250608,0.036,4.1072,1772.5,0.037466,2.85327,3.07,89.95,521,40.546,5067,4.585,-0.08,0.75,0.789,CONFIRMED
3.219814777,0.06,2.0642,488.2,0.019702,3.26825,1.69,89.72,998,12.14,5103,4.562,0.04,0.787,0.823,CONFIRMED
5.912273234,0.17,2.3254,961.4,0.027826,4.13623,1.73,89.51,585,19.7,4072,4.696,-0.18,0.57,0.586,CONFIRMED
8.98581901,0.008,2.8606,881.3,0.026527,3.50489,1.65,89.98,509,24.64,4072,4.696,-0.18,0.57,0.586,CONFIRMED
20.5452375,0.95,2.517,218.5,0.017424,0.52476,2.41,87.6,742,22.7,5670,4.206,0,1.264,0.937,FALSE POSITIVE
33.60123371,0.67,4.4056,7425.9,0.083298,2.04292,8.46,89.23,495,49.6,5149,4.447,0.42,0.93,0.882,CONFIRMED
6.76652928,0.429,2.9004,450.7,0.019382,1.85399,1.97,88.51,845,16.49,5149,4.447,0.42,0.93,0.882,CONFIRMED
4.347288783,0.025,2.1024,451.6,0.019273,4.18264,2.36,89.91,1174,16.107,5754,4.345,0.16,1.122,1.014,CONFIRMED
4.601811819,0.567,2.2607,755.9,0.02579,2.109,2.35,87.56,896,13.32,4986,4.496,0.16,0.833,0.793,CONFIRMED
11.18719905,0.387,3.252,353.6,0.017042,2.28406,1.55,89.1,667,24.72,4986,4.496,0.16,0.833,0.793,CONFIRMED
6.998099523,7.361,2.0488,20285,6.502574,22.19119,588.66,79,853,38.6,5612,4.566,-0.12,0.829,0.926,FALSE POSITIVE
5.95489993,0.327,2.3892,1410.7,0.033728,3.48052,2.33,89,635,18.69,4261,4.641,-0.06,0.633,0.64,CONFIRMED
12.03987488,0.286,2.7363,1250.6,0.031605,4.82896,2.18,89.51,502,33.32,4261,4.641,-0.06,0.633,0.64,CONFIRMED
20.83762895,0.706,2.3734,439,0.020532,5.25789,1.42,89.18,418,49.4,4261,4.641,-0.06,0.633,0.64,CONFIRMED
8.8111022,1.223,5.0683,401.1,0.242511,0.00762,63.66,67.15,1399,3.15,6200,3.8,-0.12,2.404,1.333,FALSE POSITIVE
23.58917143,0.926,5.073,1200.7,0.040151,0.16337,3.16,86.86,487,16.88,4919,4.566,-0.24,0.721,0.697,CONFIRMED
6.481633073,0.833,3.784,298.5,0.017836,0.20633,2.54,83.8,1145,7.71,5945,4.213,-0.08,1.302,1.009,CONFIRMED
10.37168928,0.537,3.035,1254.9,0.033023,2.15323,3.2,88.66,720,23,5121,4.457,0.18,0.888,0.822,CONFIRMED
4.40841331,0.899,5.012,549.4,0.025379,0.03994,2.66,74.9,1139,3.45,6007,4.457,-0.24,0.961,0.968,CONFIRMED
7.9426176,0.942,6.703,1590.7,0.046289,0.02282,4.68,77.16,878,4.238,5811,4.521,0.07,0.926,1.036,FALSE POSITIVE
226.8904775,0.731,7.558,3136.4,0.055361,1.95932,4.53,89.76,236,174.7,5067,4.585,-0.08,0.75,0.789,CONFIRMED
